sample_id,mixture_group
1L_2L_3L_4L_5L,liver_pool
1L,0S
1S_2,100S
1S,100S
20_1S_80_1L,20S
20_2S_80_2L,20S
20_3S_80_3L,20S
20_4S_80_4L,20S
20_5S_80_5L_1,20S
20_5S_80_5L_2,20S
2L,0S
2S,100S
3L,0S
3S,100S
40_1S_60_1L,40S
40_2S_60_2L,40S
40_3S_60_3L,40S
40_4S_60_4L_1,40S
40_4S_60_4L_2,40S
40_5S_60_5L,40S
4L,0S
4S,100S
5L,0S
5S,100S
60_1S_40_1L,60S
60_2S_40_2L,60S
60_3S_40_3L_1,60S
60_3S_40_3L_2,60S
60_4S_40_4L,60S
60_5S_40_5L,60S
80_1S_20_1L,80S
80_2S_20_2L_1,80S
80_2S_20_2L_2,80S
80_3S_20_3L,80S
80_4S_20_4L,80S
80_5S_20_5L,80S
