cell_type,alpha_hat,miRNA
t_lymphocyte_cd4,0.052811854336756,hsa-let-7a-2-3p
t_lymphocyte_cd4,0.47092965676879,hsa-let-7a-3p
t_lymphocyte_cd4,105.507927108769,hsa-let-7a-5p/7c-5p
t_lymphocyte_cd4,0.262957590963368,hsa-let-7b-3p
t_lymphocyte_cd4,11.5735264316617,hsa-let-7b-5p
t_lymphocyte_cd4,0.052811854336756,hsa-let-7c-3p
t_lymphocyte_cd4,0.920604376388054,hsa-let-7d-3p
t_lymphocyte_cd4,5.45753376407985,hsa-let-7d-5p
t_lymphocyte_cd4,0.0596697563347373,hsa-let-7e-3p
t_lymphocyte_cd4,1.48636062419807,hsa-let-7e-5p
t_lymphocyte_cd4,0.171473056116958,hsa-let-7f-1-3p
t_lymphocyte_cd4,0.197491433097455,hsa-let-7f-2-3p
t_lymphocyte_cd4,133.815886635865,hsa-let-7f-5p
t_lymphocyte_cd4,0.355788727634227,hsa-let-7g-3p
t_lymphocyte_cd4,168.125110467722,hsa-let-7g-5p
t_lymphocyte_cd4,0.99615868110261,hsa-let-7i-3p
t_lymphocyte_cd4,45.8370253291281,hsa-let-7i-5p
t_lymphocyte_cd4,0.0537889213712575,hsa-miR-1-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1-5p
t_lymphocyte_cd4,0.058294454621323,hsa-miR-100-3p
t_lymphocyte_cd4,0.187939871755199,hsa-miR-100-5p
t_lymphocyte_cd4,78.2114124576136,hsa-miR-101-3p
t_lymphocyte_cd4,0.815466721644035,hsa-miR-101-5p
t_lymphocyte_cd4,0.0792443600637176,hsa-miR-103a-2-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-105-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-105-5p
t_lymphocyte_cd4,0.0837187768478512,hsa-miR-106a-3p
t_lymphocyte_cd4,2.63076143330392,hsa-miR-106b-3p
t_lymphocyte_cd4,1.91489108510268,hsa-miR-106b-5p
t_lymphocyte_cd4,15.5655115525106,hsa-miR-107/103a-3p/103b
t_lymphocyte_cd4,0.118098399732569,hsa-miR-10a-3p
t_lymphocyte_cd4,22.8037987983476,hsa-miR-10a-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-10b-3p
t_lymphocyte_cd4,0.287169967922664,hsa-miR-10b-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1178-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1178-5p
t_lymphocyte_cd4,0.0655633611112608,hsa-miR-1179
t_lymphocyte_cd4,0.0654912297950676,hsa-miR-1180-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1180-5p
t_lymphocyte_cd4,0.0538365022897001,hsa-miR-1181
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1182
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1183
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1184
t_lymphocyte_cd4,0.0538167442513646,hsa-miR-1185-1-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1185-2-3p
t_lymphocyte_cd4,0.0538167442513646,hsa-miR-1185-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1193
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1197
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1199-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1199-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1200
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1202
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1203
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1204
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1205
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1206
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1207-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1207-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1208
t_lymphocyte_cd4,0.052811854336756,hsa-miR-122-3p
t_lymphocyte_cd4,0.0597601512424597,hsa-miR-122-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1224-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1224-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1225-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1225-5p
t_lymphocyte_cd4,0.0548809745921917,hsa-miR-1226-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1226-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1227-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1227-5p
t_lymphocyte_cd4,0.0538749781839576,hsa-miR-1228-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1228-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1229-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1229-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1231
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1233-3p
t_lymphocyte_cd4,0.0538167442513646,hsa-miR-1233-5p
t_lymphocyte_cd4,0.0573107523614861,hsa-miR-1234-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1236-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1236-5p
t_lymphocyte_cd4,0.055040882403155,hsa-miR-1237-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1237-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1238-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1238-5p
t_lymphocyte_cd4,0.0571786034698515,hsa-miR-124-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-124-5p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1243
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1244
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1245a
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1245b-3p
t_lymphocyte_cd4,0.052811854336756,hsa-miR-1245b-5p
